route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
14004,6,32,גן ילדים/רותם-נצרת עילית<->גן ילדים/רותם-נצרת עילית-3ה,32032-3-ה,3,
14017,6,40,עצמון/ארבל-נצרת עילית<->האצטדיון-נצרת עילית-3ג,32040-3-ג,3,
13953,6,73,שד. מעלה יצחק/יסמין-נצרת עילית<->בי''ס שרת-נצרת עילית-1#,32073-1-#,3,FF9933
13955,6,74,גן ילדים/כרכום-נצרת עילית<->בי''ס שרת-נצרת עילית-1#,32074-1-#,3,FF9933
13938,6,70,בריאות המשפחה-כפר כנא<->'בית ספר ד-כפר כנא-1#,33070-1-#,3,FF9933
13939,6,70,חטיבת ביניים-כפר כנא<->'בית ספר ד-כפר כנא-1א,33070-1-א,3,FF9933
13940,6,70,כפר כנא 4-כפר כנא<->'בית ספר ד-כפר כנא-1ב,33070-1-ב,3,FF9933
13943,6,70,'בית ספר ד-כפר כנא<->כפר כנא ד-כפר כנא-2א,33070-2-א,3,FF9933
16155,6,70,'בית ספר ד-כפר כנא<->בריאות המשפחה-כפר כנא-2ג,33070-2-ג,3,FF9933
10828,6,86,בי''ס אורט-נצרת<->בית ספר עמל-נצרת-1#,33086-1-#,3,FF9933
13983,6,93,כיכר אלשהיד עלי-נצרת<->בי''ס אורט-נצרת-1#,33093-1-#,3,FF9933
13958,6,75,בית ספר ארבל-נצרת עילית<->יקינטון/מורן-נצרת עילית-2#,34075-2-#,3,FF9933
13961,6,77,גן ילדים/כרכום-נצרת עילית<->בית ספר אלון/מעלה יצחק-נצרת עילית-1#,34077-1-#,3,FF9933
1220,6,2,דליה/כליל החורש-נצרת עילית<->דליה/הגומא-נצרת עילית-3א,36002-3-א,3,
1221,6,2,מרכז מסחרי/השושנים-נצרת עילית<->דליה/הגומא-נצרת עילית-3ב,36002-3-ב,3,
14014,6,23,7086/7064-נצרת<->7086/7064-נצרת-3ב,37023-3-ב,3,
14015,6,23,7086/7064-נצרת<->מרכז מסחרי-נצרת-3ג,37023-3-ג,3,
13982,6,91,בית ספר שנלר-נצרת<->1019/אל פאח'ורה-נצרת-2#,37091-2-#,3,FF9933
13974,6,85,מרכז מסחרי/עומר אבן אל ח'טאב-נצרת<->סאפוריה/7008-נצרת-2#,42085-2-#,3,FF9933
13972,6,84,201/609-יפיע<->בית ספר שנלר-נצרת-1#,43084-1-#,3,FF9933
13976,6,87,יזרעאל/הגפן-נצרת עילית<->בית ספר נעמ''ת-נצרת-1א,45087-1-א,3,FF9933
13977,6,87,בי''ס אינגיליה-נצרת<->אל וערה 1-עין מאהל-2#,45087-2-#,3,FF9933
1209,6,1,יפיע ד'/יציאה-יפיע<->מרכז מסחרי/המעיין-נצרת עילית-2#,46001-2-#,3,
13970,6,83,בילאל/8016-נצרת<->בית ספר שנלר-נצרת-1#,46083-1-#,3,FF9933
13966,6,80,1006/1004-נצרת<->הגליל/4000-נצרת-1#,49080-1-#,3,FF9933
13969,6,82,609/616-יפיע<->בי''ס אורט-נצרת-1#,51082-1-#,3,FF9933
9631,7,291,מגאר ג'/מרכז-מגאר<->סחנין יציאה מערבית-סח'נין-1#,10291-1-#,3,
9633,7,293,מגרש משולב-שעב<->אוניברסיטה/רב תכליתי-חיפה-1#,10293-1-#,3,
9635,7,293,אוניברסיטה/רב תכליתי-חיפה<->מגרש משולב-שעב-2א,10293-2-א,3,
1622,7,298,כאבול כניסה-כאבול<->אוניברסיטה/רב תכליתי-חיפה-1#,10298-1-#,3,
1624,7,298,אוניברסיטת חיפה/בניין אשכול ב-חיפה<->כאבול ו'/יציאה-כאבול-2#,10298-2-#,3,
1625,7,298,אוניברסיטת חיפה/בניין אשכול ב-חיפה<->כאבול ו'/יציאה-כאבול-2א,10298-2-א,3,
1559,7,331,תחנה מרכזית-נצרת<->דגון-חיפה-1#,10331-1-#,3,
1560,7,331,תחנה מרכזית-נצרת<->דגון-חיפה-1ב,10331-1-ב,3,
1565,7,331,דגון-חיפה<->פאולוס השישי ד-נצרת-2ב,10331-2-ב,3,
1568,7,331,דגון-חיפה<->פאולוס השישי ד-נצרת-2ה,10331-2-ה,3,
1569,7,332,תבור/נוף תבור-נצרת עילית<->דגון-חיפה-1#,10332-1-#,3,
1571,7,332,תבור/נוף תבור-נצרת עילית<->דגון-חיפה-1ב,10332-1-ב,3,
1572,7,332,תבור/נוף תבור-נצרת עילית<->מרכזית המפרץ/רציפים בינעירוני-חיפה-1ג,10332-1-ג,3,
1574,7,332,תבור/נוף תבור-נצרת עילית<->דגון-חיפה-1ה,10332-1-ה,3,
1575,7,332,דגון-חיפה<->תבור/קישון-נצרת עילית-2#,10332-2-#,3,
1578,7,332,מרכזית המפרץ/רציפים בינעירוני-חיפה<->תבור/קישון-נצרת עילית-2ג,10332-2-ג,3,
1594,7,334,אוניברסיטה/רב תכליתי-חיפה<->בי''ח סעודי הגליל-ריינה-2א,10334-2-א,3,
1597,7,338,תבור/נוף תבור-נצרת עילית<->מרכזית המפרץ/רציפים בינעירוני-חיפה-1ג,10338-1-ג,3,
1598,7,338,מרכזית המפרץ/רציפים בינעירוני-חיפה<->תבור/קישון-נצרת עילית-2#,10338-2-#,3,
1600,7,339,תחנה מרכזית-נצרת<->מרכזית המפרץ/רציפים בינעירוני-חיפה-1#,10339-1-#,3,
1607,7,342,מרכזית המפרץ/רציפים בינעירוני-חיפה<->יזרעאל/הגפן-נצרת עילית-2א,10342-2-א,3,
9628,7,290,מגאר ג'/מרכז-מגאר<->החשמל/חטיבת כרמלי-חיפה-1א,11290-1-א,3,
16836,7,296,טמרה ב-טמרה<->הגליל ט'/מכללת סח'נין-סח'נין-2א,11296-2-א,3,
1550,7,299,מגאר ג'/מרכז-מגאר<->אוניברסיטה/רב תכליתי-חיפה-1א,11299-1-א,3,
10861,7,303,הושעייה-הושעיה<->תחנה מרכזית עפולה/הורדה-עפולה-1#,11303-1-#,3,
1583,7,333,כפר כנא ב'/בי''ס חט''ב א-כפר כנא<->אוניברסיטה/רב תכליתי-חיפה-1ב,11333-1-ב,3,
1585,7,333,אוניברסיטה/מגדל אשכול-חיפה<->צומת נצרת צפון א-נצרת-2#,11333-2-#,3,
1589,7,333,אוניברסיטה/רב תכליתי-חיפה<->צומת נצרת צפון א-נצרת-2ד,11333-2-ד,3,
1591,7,333,אוניברסיטה/רב תכליתי-חיפה<->כפר כנא ז'/בי''ס חט''ב א-כפר כנא-2ו,11333-2-ו,3,
1608,7,365,סחנין יציאה מערבית-סח'נין<->בית חולים זיו-צפת-1#,11365-1-#,3,
1611,7,431,בית עלמין-מגדל העמק<->תחנה מרכזית טבריה/רציפים-טבריה-1א,11431-1-א,3,
1613,7,431,תחנה מרכזית טבריה/רציפים-טבריה<->בית העלמין-מגדל העמק-2א,11431-2-א,3,
1614,7,431,תחנה מרכזית טבריה/רציפים-טבריה<->בית העלמין-מגדל העמק-2ב,11431-2-ב,3,
1617,7,553,עין מאהל א'/שכונת אלעבהרה-עין מאהל<->החשמל/חטיבת כרמלי-חיפה-1#,11553-1-#,3,
1619,7,553,החשמל/דב גרונר-חיפה<->עין מאהל א'/שכונת אלעבהרה-עין מאהל-2#,11553-2-#,3,
1620,7,554,צומת נצרת צפון א-נצרת<->החשמל/חטיבת כרמלי-חיפה-1#,11554-1-#,3,
1621,7,554,החשמל/דב גרונר-חיפה<->עין מאהל א'/שכונת אלעבהרה-עין מאהל-2#,11554-2-#,3,
16501,7,724,בית עלמין ישן/שדרות מעלה יצחק-נצרת עילית<->א קודס/אל מדינה-אום אל פחם-1#,11724-1-#,3,
16333,7,451,יפיע א'/כניסה-יפיע<->מכללת תל חי מערב-הגליל העליון-1#,14451-1-#,3,
1439,7,50,אלון-מנשית זבדה<->בי''ס מקיף זרזיר-זרזיר-1#,15050-1-#,3,FF9933
1440,7,50,מזאריב 1-עמק יזרעאל<->בי''ס מקיף זרזיר-זרזיר-1א,15050-1-א,3,FF9933
1441,7,50,שכונת עיאדאת ב-זרזיר<->בי''ס מקיף זרזיר-זרזיר-1ב,15050-1-ב,3,FF9933
1443,7,50,שכונת גריפאת א'/כניסה-זרזיר<->בי''ס מקיף זרזיר-זרזיר-1ד,15050-1-ד,3,FF9933
1449,7,50,בי''ס מקיף זרזיר-זרזיר<->אלון-מנשית זבדה-2#,15050-2-#,3,FF9933
1450,7,50,בי''ס מקיף זרזיר-זרזיר<->מזאריב 1-זרזיר-2א,15050-2-א,3,FF9933
1452,7,50,בי''ס מקיף זרזיר-זרזיר<->גריפאת 5-זרזיר-2ג,15050-2-ג,3,FF9933
1453,7,50,בי''ס מקיף זרזיר-זרזיר<->גריפאת 1-זרזיר-2ד,15050-2-ד,3,FF9933
1523,7,59,מגאר ד-מגאר<->מכללת מר אליאס-אעבלין-1#,15059-1-#,3,FF9933
1526,7,59,מכללת מר אליאס-אעבלין<->מגאר ד-מגאר-2#,15059-2-#,3,FF9933
7645,7,65,הגליל ט'/מכללת סח'נין-סח'נין<->צומת ג'ריפאת-עמק יזרעאל-2#,15065-2-#,3,
